Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19
0.564622,0,,,,,,,,,,,,,,,,,
0.565716,0,,,,,,,,,,,,,,,,,
0.566806,0,,,,,,,,,,,,,,,,,
0.567896,0,,,,,,,,,,,,,,,,,
0.568988,0,,,,,,,,,,,,,,,,,
0.570079,0,,,,,,,,,,,,,,,,,
0.571171,0,,,,,,,,,,,,,,,,,
0.572261,0,,,,,,,,,,,,,,,,,
0.573346,0,,,,,,,,,,,,,,,,,
0.574439,0,,,,,,,,,,,,,,,,,
0.575529,0,,,,,,,,,,,,,,,,,
0.576588,0,,,,,,,,,,,,,,,,,
0.577678,0,,,,,,,,,,,,,,,,,
0.578793,0,,,,,,,,,,,,,,,,,
0.579871,0,,,,,,,,,,,,,,,,,
0.580959,0,,,,,,,,,,,,,,,,,
0.582049,0,,,,,,,,,,,,,,,,,
0.583139,0,,,,,,,,,,,,,,,,,
0.584232,0,,,,,,,,,,,,,,,,,
0.585325,0,,,,,,,,,,,,,,,,,
0.586413,0,,,,,,,,,,,,,,,,,
0.587503,0,,,,,,,,,,,,,,,,,
0.588596,0,,,,,,,,,,,,,,,,,
0.589689,0,,,,,,,,,,,,,,,,,
0.59078,0,,,,,,,,,,,,,,,,,
0.591869,0,,,,,,,,,,,,,,,,,
0.592959,0,,,,,,,,,,,,,,,,,
0.594052,0,,,,,,,,,,,,,,,,,
0.595149,0,,,,,,,,,,,,,,,,,
0.596244,0,,,,,,,,,,,,,,,,,
0.597292,0,,,,,,,,,,,,,,,,,
0.598383,0,,,,,,,,,,,,,,,,,
0.599483,0,,,,,,,,,,,,,,,,,
0.600577,0,,,,,,,,,,,,,,,,,
0.601671,0,,,,,,,,,,,,,,,,,
0.602779,0,,,,,,,,,,,,,,,,,
0.60387,0,,,,,,,,,,,,,,,,,
0.604963,0,,,,,,,,,,,,,,,,,
0.606053,0,,,,,,,,,,,,,,,,,
0.607143,0,,,,,,,,,,,,,,,,,
0.608237,0,,,,,,,,,,,,,,,,,
0.609326,0,,,,,,,,,,,,,,,,,
0.610419,0,,,,,,,,,,,,,,,,,
0.611515,0,,,,,,,,,,,,,,,,,
0.61262,0,,,,,,,,,,,,,,,,,
0.613718,0,,,,,,,,,,,,,,,,,
0.614804,0,,,,,,,,,,,,,,,,,
0.615892,0,,,,,,,,,,,,,,,,,
0.616982,0,,,,,,,,,,,,,,,,,
0.618073,0,,,,,,,,,,,,,,,,,
0.619165,0,,,,,,,,,,,,,,,,,
0.620258,0,,,,,,,,,,,,,,,,,
0.621342,0,,,,,,,,,,,,,,,,,
0.622431,0,,,,,,,,,,,,,,,,,
0.623524,0,,,,,,,,,,,,,,,,,
0.624615,0,,,,,,,,,,,,,,,,,
0.62572,0,,,,,,,,,,,,,,,,,
0.626823,0,,,,,,,,,,,,,,,,,
0.627924,0,,,,,,,,,,,,,,,,,
0.629037,0,,,,,,,,,,,,,,,,,
0.630119,0,,,,,,,,,,,,,,,,,
0.631201,0,,,,,,,,,,,,,,,,,
0.632292,0,,,,,,,,,,,,,,,,,
0.63338,0,,,,,,,,,,,,,,,,,
0.634472,0,,,,,,,,,,,,,,,,,
0.635562,0,,,,,,,,,,,,,,,,,
0.636653,0,,,,,,,,,,,,,,,,,
0.637745,0,,,,,,,,,,,,,,,,,
